Rank,Team,Latest results,Upcoming matches,Points
1,France,FIFA World Cup 26™ UEFA QualifiersGroup D13 October 2025Iceland2France213 October 2025FIFA World Cup 26™ UEFA QualifiersGroup D13 November 2025France4Ukraine013 November 2025FIFA World Cup 26™ UEFA QualifiersGroup D16 November 2025Azerbaijan1France316 November 2025Friendly 202626 March 2026Brazil1France226 March 2026Friendly 202629 March 2026France3Colombia129 March 2026,,1877.32
2,Spain,FIFA World Cup 26™ UEFA QualifiersGroup E14 October 2025Spain4Bulgaria014 October 2025FIFA World Cup 26™ UEFA QualifiersGroup E15 November 2025Georgia0Spain415 November 2025FIFA World Cup 26™ UEFA QualifiersGroup E18 November 2025Spain2Türkiye218 November 2025Friendly 202627 March 2026Spain3Serbia027 March 2026Friendly 202631 March 2026Spain0Egypt031 March 2026,SpainIraq04 Jun19:00,1876.40
3,Argentina,Friendly 202511 October 2025Argentina1Venezuela011 October 2025Friendly 202515 October 2025Argentina6Puerto Rico015 October 2025Friendly 202514 November 2025Angola0Argentina214 November 2025Friendly 202627 March 2026Argentina2Mauritania127 March 2026Friendly 202631 March 2026Argentina5Zambia031 March 2026,ArgentinaHonduras07 Jun00:00,1874.81
4,England,FIFA World Cup 26™ UEFA QualifiersGroup K14 October 2025Latvia0England514 October 2025FIFA World Cup 26™ UEFA QualifiersGroup K13 November 2025England2Serbia013 November 2025FIFA World Cup 26™ UEFA QualifiersGroup K16 November 2025Albania0England216 November 2025Friendly 202627 March 2026England1Uruguay127 March 2026Friendly 202631 March 2026England0Japan131 March 2026,,1825.97
5,Portugal,FIFA World Cup 26™ UEFA QualifiersGroup F14 October 2025Portugal2Hungary214 October 2025FIFA World Cup 26™ UEFA QualifiersGroup F13 November 2025Republic of Ireland2Portugal013 November 2025FIFA World Cup 26™ UEFA QualifiersGroup F16 November 2025Portugal9Armenia116 November 2025Friendly 202629 March 2026Mexico0Portugal029 March 2026Friendly 202631 March 2026USA0Portugal231 March 2026,,1763.83
6,Brazil,Friendly 202514 October 2025Japan3Brazil214 October 2025Friendly 202515 November 2025Brazil2Senegal015 November 2025Friendly 202518 November 2025Brazil1Tunisia118 November 2025Friendly 202626 March 2026Brazil1France226 March 2026Friendly 202601 April 2026Brazil3Croatia101 April 2026,BrazilPanama31 May21:00,1761.16
7,Netherlands,FIFA World Cup 26™ UEFA QualifiersGroup G12 October 2025Netherlands4Finland012 October 2025FIFA World Cup 26™ UEFA QualifiersGroup G14 November 2025Poland1Netherlands114 November 2025FIFA World Cup 26™ UEFA QualifiersGroup G17 November 2025Netherlands4Lithuania017 November 2025Friendly 202627 March 2026Netherlands2Norway127 March 2026Friendly 202631 March 2026Netherlands1Ecuador131 March 2026,NetherlandsUzbekistan08 Jun18:45,1757.87
8,Morocco,Africa Cup of Nations 2025Quarter-final09 January 2026Cameroon0Morocco209 January 2026Africa Cup of Nations 2025Semi-final14 January 2026Nigeria0(2)MoroccoWon 4 - 2 On Penalties0(4)14 January 2026Africa Cup of Nations 2025FinalForfeitedSenegalMoroccoForfeitedFriendly 202627 March 2026Morocco1Ecuador127 March 2026Friendly 202631 March 2026Morocco2Paraguay131 March 2026,,1755.87
9,Belgium,FIFA World Cup 26™ UEFA QualifiersGroup J13 October 2025Wales2Belgium413 October 2025FIFA World Cup 26™ UEFA QualifiersGroup J15 November 2025Kazakhstan1Belgium115 November 2025FIFA World Cup 26™ UEFA QualifiersGroup J18 November 2025Belgium7Liechtenstein018 November 2025Friendly 202628 March 2026USA2Belgium528 March 2026Friendly 202601 April 2026Mexico1Belgium101 April 2026,CroatiaBelgium02 Jun16:00,1734.71
10,Germany,FIFA World Cup 26™ UEFA QualifiersGroup A13 October 2025Northern Ireland0Germany113 October 2025FIFA World Cup 26™ UEFA QualifiersGroup A14 November 2025Luxembourg0Germany214 November 2025FIFA World Cup 26™ UEFA QualifiersGroup A17 November 2025Germany6Slovakia017 November 2025Friendly 202627 March 2026Switzerland3Germany427 March 2026Friendly 202630 March 2026Germany2Ghana130 March 2026,USAGermany06 Jun19:30,1730.37
11,Croatia,FIFA World Cup 26™ UEFA QualifiersGroup L12 October 2025Croatia3Gibraltar012 October 2025FIFA World Cup 26™ UEFA QualifiersGroup L14 November 2025Croatia3Faroe Islands114 November 2025FIFA World Cup 26™ UEFA QualifiersGroup L17 November 2025Montenegro2Croatia317 November 2025Friendly 202626 March 2026Colombia1Croatia226 March 2026Friendly 202601 April 2026Brazil3Croatia101 April 2026,CroatiaBelgium02 Jun16:00,1717.07
12,Italy,FIFA World Cup 26™ UEFA QualifiersGroup I14 October 2025Italy3Israel014 October 2025FIFA World Cup 26™ UEFA QualifiersGroup I13 November 2025Moldova0Italy213 November 2025FIFA World Cup 26™ UEFA QualifiersGroup I16 November 2025Italy1Norway416 November 2025FIFA World Cup 26™ UEFA QualifiersPath A – Semi-final26 March 2026Italy2Northern Ireland026 March 2026FIFA World Cup 26™ UEFA QualifiersPath A – Final31 March 2026Bosnia and HerzegovinaWon 4 - 1 On Penalties1(4)Italy1(1)31 March 2026,LuxembourgItaly03 Jun18:45,1700.37
13,Colombia,Friendly 202515 October 2025Colombia0Canada015 October 2025Friendly 202516 November 2025Colombia2New Zealand116 November 2025Friendly 202519 November 2025Colombia3Australia019 November 2025Friendly 202626 March 2026Colombia1Croatia226 March 2026Friendly 202629 March 2026France3Colombia129 March 2026,ColombiaCosta Rica29 May23:00,1693.09
14,Senegal,Africa Cup of Nations 2025Quarter-final09 January 2026Mali0Senegal109 January 2026Africa Cup of Nations 2025Semi-final14 January 2026Senegal1Egypt014 January 2026Africa Cup of Nations 2025FinalForfeitedSenegalMoroccoForfeitedFriendly 202628 March 2026Peru0Senegal228 March 2026Friendly 202631 March 2026Senegal3The Gambia131 March 2026,USASenegal31 May19:30,1688.99
15,Mexico,Friendly 202625 January 2026Bolivia0Mexico125 January 2026Friendly 202626 February 2026Mexico4Iceland026 February 2026Friendly 202629 March 2026Mexico0Portugal029 March 2026Friendly 202601 April 2026Mexico1Belgium101 April 2026Friendly 202623 May 2026Mexico2Ghana023 May 2026,MexicoAustralia31 May02:00,1681.03*
16,USA,Friendly 202515 October 2025USA2Australia115 October 2025Friendly 202515 November 2025USA2Paraguay115 November 2025Friendly 202519 November 2025USA5Uruguay119 November 2025Friendly 202628 March 2026USA2Belgium528 March 2026Friendly 202631 March 2026USA0Portugal231 March 2026,USASenegal31 May19:30,1673.13
17,Uruguay,Friendly 202513 October 2025Uzbekistan1Uruguay213 October 2025Friendly 202516 November 2025Mexico0Uruguay016 November 2025Friendly 202519 November 2025USA5Uruguay119 November 2025Friendly 202627 March 2026England1Uruguay127 March 2026Friendly 202631 March 2026Algeria0Uruguay031 March 2026,,1673.07
18,Japan,Friendly 202514 October 2025Japan3Brazil214 October 2025Friendly 202514 November 2025Japan2Ghana014 November 2025Friendly 202518 November 2025Japan3Bolivia018 November 2025Friendly 202628 March 2026Scotland0Japan128 March 2026Friendly 202631 March 2026England0Japan131 March 2026,JapanIceland31 May10:25,1660.43
19,Switzerland,FIFA World Cup 26™ UEFA QualifiersGroup B13 October 2025Slovenia0Switzerland013 October 2025FIFA World Cup 26™ UEFA QualifiersGroup B15 November 2025Switzerland4Sweden115 November 2025FIFA World Cup 26™ UEFA QualifiersGroup B18 November 2025Kosovo1Switzerland118 November 2025Friendly 202627 March 2026Switzerland3Germany427 March 2026Friendly 202631 March 2026Norway0Switzerland031 March 2026,SwitzerlandJordan31 May13:00,1649.40
20,Denmark,FIFA World Cup 26™ UEFA QualifiersGroup C12 October 2025Denmark3Greece112 October 2025FIFA World Cup 26™ UEFA QualifiersGroup C15 November 2025Denmark2Belarus215 November 2025FIFA World Cup 26™ UEFA QualifiersGroup C18 November 2025Scotland4Denmark218 November 2025FIFA World Cup 26™ UEFA QualifiersPath D – Semi-final26 March 2026Denmark4North Macedonia026 March 2026FIFA World Cup 26™ UEFA QualifiersPath D – Final31 March 2026CzechiaWon 3 - 1 On Penalties2(3)Denmark2(1)31 March 2026,Congo DRDenmark03 Jun18:00,1620.81
21,IR Iran,Friendly 202514 October 2025IR Iran2Tanzania014 October 2025Al Ain International Cup 2025Semi-final13 November 2025IR IranWon 5 - 4 On Penalties0(5)Cabo Verde0(4)13 November 2025Al Ain International Cup 2025Final18 November 2025IR Iran0(3)UzbekistanWon 4 - 3 On Penalties0(4)18 November 2025Friendly 202627 March 2026IR Iran1Nigeria227 March 2026Friendly 202631 March 2026IR Iran5Costa Rica031 March 2026,IR IranThe Gambia29 May15:30,1615.30
22,Türkiye,FIFA World Cup 26™ UEFA QualifiersGroup E14 October 2025Türkiye4Georgia114 October 2025FIFA World Cup 26™ UEFA QualifiersGroup E15 November 2025Türkiye2Bulgaria015 November 2025FIFA World Cup 26™ UEFA QualifiersGroup E18 November 2025Spain2Türkiye218 November 2025FIFA World Cup 26™ UEFA QualifiersPath C – Semi-final26 March 2026Türkiye1Romania026 March 2026FIFA World Cup 26™ UEFA QualifiersPath C – Final31 March 2026Kosovo0Türkiye131 March 2026,TürkiyeNorth Macedonia01 Jun17:30,1599.04
23,Ecuador,Friendly 202515 October 2025Mexico1Ecuador115 October 2025Friendly 202514 November 2025Canada0Ecuador014 November 2025Friendly 202519 November 2025Ecuador2New Zealand019 November 2025Friendly 202627 March 2026Morocco1Ecuador127 March 2026Friendly 202631 March 2026Netherlands1Ecuador131 March 2026,Saudi ArabiaEcuador31 May00:30,1594.78
